gene_name,oncogenicCategory,editor,edit_date,field
ABL1,Oncogene,loader,2020-04-22-17-20-57-009374,OncogenicCategory_omnigene_25
ABL2,Oncogene,loader,2020-04-22-17-20-59-166344,OncogenicCategory_omnigene_27
ABRAXAS1,Neither,loader,2020-04-22-17-30-36-728421,OncogenicCategory_omnigene_84142
ACVR1,Oncogene,loader,2020-04-22-17-21-01-224462,OncogenicCategory_omnigene_90
ACVR1B,Tumor Suppressor Gene,loader,2020-04-22-17-21-03-499054,OncogenicCategory_omnigene_91
ACVRL1,Oncogene,loader,2020-04-22-17-21-05-978721,OncogenicCategory_omnigene_94
ADGRA2,Neither,loader,2020-04-22-17-33-21-459945,OncogenicCategory_omnigene_25960
ADORA2A,Neither,loader,2020-04-22-17-21-08-446620,OncogenicCategory_omnigene_135
AKT1,Oncogene,loader,2020-04-22-17-21-20-404444,OncogenicCategory_omnigene_207
AKT2,Oncogene,loader,2020-04-22-17-21-25-256566,OncogenicCategory_omnigene_208
AKT3,Oncogene,loader,2020-04-22-17-21-27-386598,OncogenicCategory_omnigene_10000
ALK,Oncogene,loader,2020-04-22-17-21-29-607557,OncogenicCategory_omnigene_238
ALOX12B,Neither,loader,2020-04-22-17-21-32-055960,OncogenicCategory_omnigene_242
AMER1,Neither,loader,2020-04-22-17-30-35-106499,OncogenicCategory_omnigene_139285
ANKRD11,Neither,loader,2020-04-22-17-21-34-927991,OncogenicCategory_omnigene_29123
ANKRD26,Neither,loader,2020-04-22-17-21-36-480721,OncogenicCategory_omnigene_22852
APC,Tumor Suppressor Gene,loader,2020-04-22-17-21-39-748030,OncogenicCategory_omnigene_324
APEX1,Oncogene,loader,2020-04-22-17-21-41-997843,OncogenicCategory_omnigene_328
AR,Oncogene,loader,2020-04-22-17-21-45-719434,OncogenicCategory_omnigene_367
ARAF,Oncogene,loader,2020-04-22-17-21-48-041121,OncogenicCategory_omnigene_369
ARFRP1,Neither,loader,2020-04-22-17-21-49-598556,OncogenicCategory_omnigene_10139
ARID1A,Tumor Suppressor Gene,loader,2020-04-22-17-21-52-135103,OncogenicCategory_omnigene_8289
ARID1B,Tumor Suppressor Gene,loader,2020-04-22-17-21-55-004436,OncogenicCategory_omnigene_57492
ARID2,Tumor Suppressor Gene,loader,2020-04-22-17-21-56-821514,OncogenicCategory_omnigene_196528
ARID5B,Tumor Suppressor Gene,loader,2020-04-22-17-21-59-557068,OncogenicCategory_omnigene_84159
ASXL1,Tumor Suppressor Gene,loader,2020-04-22-17-22-02-681962,OncogenicCategory_omnigene_171023
ASXL2,Tumor Suppressor Gene,loader,2020-04-22-17-22-05-386440,OncogenicCategory_omnigene_55252
ATM,Tumor Suppressor Gene,loader,2020-04-22-17-22-12-848285,OncogenicCategory_omnigene_472
ATP11B,Oncogene,loader,2020-04-22-17-22-16-588485,OncogenicCategory_omnigene_23200
ATR,Tumor Suppressor Gene,loader,2020-04-22-17-22-18-754842,OncogenicCategory_omnigene_545
ATRX,Tumor Suppressor Gene,loader,2020-04-22-17-22-21-913425,OncogenicCategory_omnigene_546
AURKA,Neither,loader,2020-04-22-17-22-26-067821,OncogenicCategory_omnigene_6790
AURKB,Neither,loader,2020-04-22-17-22-29-278596,OncogenicCategory_omnigene_9212
AXIN1,Tumor Suppressor Gene,loader,2020-04-22-17-22-34-216416,OncogenicCategory_omnigene_8312
AXIN2,Tumor Suppressor Gene,loader,2020-04-22-17-22-36-236775,OncogenicCategory_omnigene_8313
AXL,Oncogene,loader,2020-04-22-17-22-39-650467,OncogenicCategory_omnigene_558
B2M,Tumor Suppressor Gene,loader,2020-04-22-17-22-42-855102,OncogenicCategory_omnigene_567
BAP1,Tumor Suppressor Gene,loader,2020-04-22-17-22-50-640600,OncogenicCategory_omnigene_8314
BARD1,Tumor Suppressor Gene,loader,2020-04-22-17-22-53-885271,OncogenicCategory_omnigene_580
BBC3,Oncogene,loader,2020-04-22-17-22-56-906804,OncogenicCategory_omnigene_27113
BCL10,Tumor Suppressor Gene,loader,2020-04-22-17-22-59-963549,OncogenicCategory_omnigene_8915
BCL2,Oncogene,loader,2020-04-22-17-23-02-748967,OncogenicCategory_omnigene_596
BCL2L1,Oncogene,loader,2020-04-22-17-23-05-355164,OncogenicCategory_omnigene_598
BCL2L11,Oncogene,loader,2020-04-22-17-23-08-001170,OncogenicCategory_omnigene_10018
