gene_name,synonymsString,editor,edit_date,field
ABL1,"ABL1,ABL,BCR-ABL,bcr/abl,c-ABL,c-ABL1,CHDSKM,JTK7,p150,v-abl",Paul.DePietro@omniseq.com,2020-04-24-16-08-23-642000,SynonymsString_omnigene_25
ABL2,"ABL2,ABLL,ARG",manuel.glynias@omniseq.com,2020-04-28-12-46-35-101000,SynonymsString_omnigene_27
ABRAXAS1,FAM175A,loader,2020-04-22-17-30-36-728437,SynonymsString_omnigene_84142
ACVR1,ACVR1,loader,2020-04-22-17-21-01-224479,SynonymsString_omnigene_90
ACVR1B,ACVR1B,loader,2020-04-22-17-21-03-499071,SynonymsString_omnigene_91
ACVRL1,ACVRL1,loader,2020-04-22-17-21-05-978738,SynonymsString_omnigene_94
ADGRA2,GPR124,loader,2020-04-22-17-33-21-459963,SynonymsString_omnigene_25960
ADORA2A,ADORA2A,loader,2020-04-22-17-21-08-446636,SynonymsString_omnigene_135
AKT1,AKT1,loader,2020-04-22-17-21-20-404464,SynonymsString_omnigene_207
AKT2,AKT2,loader,2020-04-22-17-21-25-256582,SynonymsString_omnigene_208
AKT3,AKT3,loader,2020-04-22-17-21-27-386614,SynonymsString_omnigene_10000
ALK,ALK,loader,2020-04-22-17-21-29-607573,SynonymsString_omnigene_238
ALOX12B,ALOX12B,loader,2020-04-22-17-21-32-055978,SynonymsString_omnigene_242
AMER1,FAM123B,loader,2020-04-22-17-30-35-106516,SynonymsString_omnigene_139285
ANKRD11,ANKRD11,loader,2020-04-22-17-21-34-928008,SynonymsString_omnigene_29123
ANKRD26,ANKRD26,loader,2020-04-22-17-21-36-480737,SynonymsString_omnigene_22852
APC,APC,loader,2020-04-22-17-21-39-748046,SynonymsString_omnigene_324
APEX1,APEX1,loader,2020-04-22-17-21-41-997859,SynonymsString_omnigene_328
AR,AR,loader,2020-04-22-17-21-45-719452,SynonymsString_omnigene_367
ARAF,ARAF,loader,2020-04-22-17-21-48-041137,SynonymsString_omnigene_369
ARFRP1,ARFRP1,loader,2020-04-22-17-21-49-598572,SynonymsString_omnigene_10139
ARID1A,ARID1A,loader,2020-04-22-17-21-52-135120,SynonymsString_omnigene_8289
ARID1B,ARID1B,loader,2020-04-22-17-21-55-004454,SynonymsString_omnigene_57492
ARID2,ARID2,loader,2020-04-22-17-21-56-821538,SynonymsString_omnigene_196528
ARID5B,ARID5B,loader,2020-04-22-17-21-59-557087,SynonymsString_omnigene_84159
ASXL1,ASXL1,loader,2020-04-22-17-22-02-681979,SynonymsString_omnigene_171023
ASXL2,ASXL2,loader,2020-04-22-17-22-05-386456,SynonymsString_omnigene_55252
ATM,ATM,loader,2020-04-22-17-22-12-848303,SynonymsString_omnigene_472
ATP11B,ATP11B,loader,2020-04-22-17-22-16-588501,SynonymsString_omnigene_23200
ATR,ATR,loader,2020-04-22-17-22-18-754858,SynonymsString_omnigene_545
ATRX,ATRX,loader,2020-04-22-17-22-21-913443,SynonymsString_omnigene_546
AURKA,AURKA,loader,2020-04-22-17-22-26-067839,SynonymsString_omnigene_6790
AURKB,AURKB,loader,2020-04-22-17-22-29-278614,SynonymsString_omnigene_9212
AXIN1,AXIN1,loader,2020-04-22-17-22-34-216433,SynonymsString_omnigene_8312
AXIN2,AXIN2,loader,2020-04-22-17-22-36-236791,SynonymsString_omnigene_8313
AXL,AXL,loader,2020-04-22-17-22-39-650484,SynonymsString_omnigene_558
B2M,B2M,loader,2020-04-22-17-22-42-855119,SynonymsString_omnigene_567
BAP1,BAP1,loader,2020-04-22-17-22-50-640618,SynonymsString_omnigene_8314
BARD1,BARD1,loader,2020-04-22-17-22-53-885287,SynonymsString_omnigene_580
BBC3,BBC3,loader,2020-04-22-17-22-56-906822,SynonymsString_omnigene_27113
BCL10,BCL10,loader,2020-04-22-17-22-59-963566,SynonymsString_omnigene_8915
BCL2,BCL2,loader,2020-04-22-17-23-02-748985,SynonymsString_omnigene_596
BCL2L1,BCL2L1,loader,2020-04-22-17-23-05-355180,SynonymsString_omnigene_598
BCL2L11,BCL2L11,loader,2020-04-22-17-23-08-001187,SynonymsString_omnigene_10018
BCL2L2,BCL2L2,loader,2020-04-22-17-23-09-847353,SynonymsString_omnigene_599
BCL6,BCL6,loader,2020-04-22-17-23-11-839484,SynonymsString_omnigene_604
BCL9,BCL9,loader,2020-04-22-17-23-13-429346,SynonymsString_omnigene_607
BCOR,BCOR,loader,2020-04-22-17-23-15-556754,SynonymsString_omnigene_54880
BCORL1,BCORL1,loader,2020-04-22-17-23-18-539787,SynonymsString_omnigene_63035
BCR,BCR,loader,2020-04-22-17-23-22-946401,SynonymsString_omnigene_613
BIRC2,BIRC2,loader,2020-04-22-17-23-25-608431,SynonymsString_omnigene_329
BIRC3,BIRC3,loader,2020-04-22-17-23-27-988711,SynonymsString_omnigene_330
BLM,BLM,loader,2020-04-22-17-23-40-348555,SynonymsString_omnigene_641
BMPR1A,BMPR1A,loader,2020-04-22-17-23-43-346057,SynonymsString_omnigene_657
BRAF,BRAF,loader,2020-04-22-17-23-47-022034,SynonymsString_omnigene_673
BRCA1,BRCA1,loader,2020-04-22-17-23-51-689834,SynonymsString_omnigene_672
BRCA2,BRCA2,loader,2020-04-22-17-23-55-530590,SynonymsString_omnigene_675
BRD4,BRD4,loader,2020-04-22-17-24-01-850173,SynonymsString_omnigene_23476
BRIP1,BRIP1,loader,2020-04-22-17-24-05-042552,SynonymsString_omnigene_83990
BTG1,BTG1,loader,2020-04-22-17-24-07-033688,SynonymsString_omnigene_694
BTK,BTK,loader,2020-04-22-17-24-09-753403,SynonymsString_omnigene_695
BTLA,BTLA,loader,2020-04-22-17-24-13-237333,SynonymsString_omnigene_151888
CALR,CALR,loader,2020-04-22-17-24-22-753274,SynonymsString_omnigene_811
CARD11,CARD11,loader,2020-04-22-17-24-25-372446,SynonymsString_omnigene_84433
CASP8,CASP8,loader,2020-04-22-17-24-28-451229,SynonymsString_omnigene_841
CBFB,CBFB,loader,2020-04-22-17-24-30-070779,SynonymsString_omnigene_865
CBL,CBL,loader,2020-04-22-17-24-32-220731,SynonymsString_omnigene_867
CCL2,CCL2,loader,2020-04-22-17-24-35-653207,SynonymsString_omnigene_6347
CCN6,WISP3,loader,2020-04-22-17-51-04-242013,SynonymsString_omnigene_8838
CCND1,CCND1,loader,2020-04-22-17-24-37-864869,SynonymsString_omnigene_595
CCND2,CCND2,loader,2020-04-22-17-24-39-423959,SynonymsString_omnigene_894
CCND3,CCND3,loader,2020-04-22-17-24-41-583113,SynonymsString_omnigene_896
CCNE1,CCNE1,loader,2020-04-22-17-24-43-224835,SynonymsString_omnigene_898
CCR2,CCR2,loader,2020-04-22-17-24-46-200899,SynonymsString_omnigene_729230
CD163,CD163,loader,2020-04-22-17-24-49-280306,SynonymsString_omnigene_9332
CD2,CD2,loader,2020-04-22-17-24-50-884160,SynonymsString_omnigene_914
CD244,CD244,loader,2020-04-22-17-24-54-847930,SynonymsString_omnigene_51744
CD27,CD27,loader,2020-04-22-17-24-57-014172,SynonymsString_omnigene_939
CD274,CD274,loader,2020-04-22-17-25-01-035165,SynonymsString_omnigene_29126
CD276,CD276,loader,2020-04-22-17-25-04-808592,SynonymsString_omnigene_80381
CD28,CD28,loader,2020-04-22-17-25-08-095956,SynonymsString_omnigene_940
CD38,CD38,loader,2020-04-22-17-25-18-035640,SynonymsString_omnigene_952
CD3D,CD3D,loader,2020-04-22-17-25-09-938339,SynonymsString_omnigene_915
CD3E,CD3E,loader,2020-04-22-17-25-13-262367,SynonymsString_omnigene_916
CD3G,CD3G,loader,2020-04-22-17-25-15-620134,SynonymsString_omnigene_917
CD4,CD4,loader,2020-04-22-17-25-20-373380,SynonymsString_omnigene_920
CD40,CD40,loader,2020-04-22-17-25-23-262556,SynonymsString_omnigene_958
CD40LG,CD40LG,loader,2020-04-22-17-25-25-885557,SynonymsString_omnigene_959
CD44,CD44,loader,2020-04-22-17-25-34-530055,SynonymsString_omnigene_960
CD68,CD68,loader,2020-04-22-17-25-38-081321,SynonymsString_omnigene_968
CD74,CD74,loader,2020-04-22-17-25-40-013582,SynonymsString_omnigene_972
CD79A,CD79A,loader,2020-04-22-17-25-42-270538,SynonymsString_omnigene_973
CD79B,CD79B,loader,2020-04-22-17-25-43-977677,SynonymsString_omnigene_974
CD80,CD80,loader,2020-04-22-17-25-49-529777,SynonymsString_omnigene_941
CD86,CD86,loader,2020-04-22-17-25-51-249523,SynonymsString_omnigene_942
CD8A,CD8A,loader,2020-04-22-17-25-53-594697,SynonymsString_omnigene_925
CD8A,CD8A,loader,2020-04-22-17-25-53-594697,SynonymsString_omnigene_925
CD8B,CD8B,loader,2020-04-22-17-25-55-342364,SynonymsString_omnigene_926
CD8B,CD8B,loader,2020-04-22-17-25-55-342364,SynonymsString_omnigene_926
CDC73,CDC73,loader,2020-04-22-17-25-57-609214,SynonymsString_omnigene_79577
CDH1,CDH1,loader,2020-04-22-17-26-03-333171,SynonymsString_omnigene_999
CDK12,CDK12,loader,2020-04-22-17-26-05-398402,SynonymsString_omnigene_51755
CDK4,CDK4,loader,2020-04-22-17-26-08-878866,SynonymsString_omnigene_1019
CDK6,CDK6,loader,2020-04-22-17-26-11-719259,SynonymsString_omnigene_1021
CDK8,CDK8,loader,2020-04-22-17-26-13-865570,SynonymsString_omnigene_1024
CDKN1A,CDKN1A,loader,2020-04-22-17-26-18-237602,SynonymsString_omnigene_1026
CDKN1B,CDKN1B,loader,2020-04-22-17-26-20-992253,SynonymsString_omnigene_1027
CDKN2A,CDKN2A,loader,2020-04-22-17-26-24-107702,SynonymsString_omnigene_1029
CDKN2B,CDKN2B,loader,2020-04-22-17-26-25-828464,SynonymsString_omnigene_1030
CDKN2C,CDKN2C,loader,2020-04-22-17-26-28-794281,SynonymsString_omnigene_1031
CEBPA,CEBPA,loader,2020-04-22-17-26-31-300914,SynonymsString_omnigene_1050
CENPA,CENPA,loader,2020-04-22-17-26-40-336210,SynonymsString_omnigene_1058
CHD2,CHD2,loader,2020-04-22-17-26-43-215145,SynonymsString_omnigene_1106
CHD4,CHD4,loader,2020-04-22-17-26-45-582744,SynonymsString_omnigene_1108
CHEK1,CHEK1,loader,2020-04-22-17-26-48-196653,SynonymsString_omnigene_1111
CHEK2,CHEK2,loader,2020-04-22-17-26-51-316671,SynonymsString_omnigene_11200
CIC,CIC,loader,2020-04-22-17-26-53-219308,SynonymsString_omnigene_23152
COP1,RFWD2,loader,2020-04-22-17-45-53-077090,SynonymsString_omnigene_64326
CREBBP,CREBBP,loader,2020-04-22-17-27-01-130974,SynonymsString_omnigene_1387
CRKL,CRKL,loader,2020-04-22-17-27-04-578370,SynonymsString_omnigene_1399
CRLF2,CRLF2,loader,2020-04-22-17-27-06-147087,SynonymsString_omnigene_64109
CSF1R,CSF1R,loader,2020-04-22-17-27-10-118045,SynonymsString_omnigene_1436
CSF3R,CSF3R,loader,2020-04-22-17-27-12-612356,SynonymsString_omnigene_1441
CSNK1A1,CSNK1A1,loader,2020-04-22-17-27-15-853929,SynonymsString_omnigene_1452
CSNK2A1,CSNK2A1,loader,2020-04-22-17-27-23-908314,SynonymsString_omnigene_1457
CTAG1B,CTAG1B,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-26-766208,SynonymsString_omnigene_1485
CTAG2,CTAG2,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-30-260638,SynonymsString_omnigene_30848
CTCF,CTCF,loader,2020-04-22-17-27-29-029288,SynonymsString_omnigene_10664
CTLA4,CTLA4,loader,2020-04-22-17-27-31-290049,SynonymsString_omnigene_1493
CTNNA1,CTNNA1,loader,2020-04-22-17-27-34-436950,SynonymsString_omnigene_1495
CTNNB1,CTNNB1,loader,2020-04-22-17-27-43-598336,SynonymsString_omnigene_1499
CUL3,CUL3,loader,2020-04-22-17-28-00-408754,SynonymsString_omnigene_8452
CUX1,CUX1,loader,2020-04-22-17-28-05-076378,SynonymsString_omnigene_1523
CXCL10,CXCL10,loader,2020-04-22-17-28-08-962294,SynonymsString_omnigene_3627
CXCR2,CXCR2,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-38-558718,SynonymsString_omnigene_3579
CXCR4,CXCR4,loader,2020-04-22-17-28-14-627272,SynonymsString_omnigene_7852
CXCR6,CXCR6,loader,2020-04-22-17-28-16-457802,SynonymsString_omnigene_10663
CYLD,CYLD,loader,2020-04-22-17-28-24-478101,SynonymsString_omnigene_1540
DAXX,DAXX,loader,2020-04-22-17-28-29-815794,SynonymsString_omnigene_1616
DCUN1D1,DCUN1D1,loader,2020-04-22-17-28-32-863927,SynonymsString_omnigene_54165
DDR2,DDR2,loader,2020-04-22-17-28-36-294039,SynonymsString_omnigene_4921
DDX41,DDX41,loader,2020-04-22-17-28-38-831492,SynonymsString_omnigene_51428
DDX58,DDX58,loader,2020-04-22-17-28-42-178692,SynonymsString_omnigene_23586
DHX15,DHX15,loader,2020-04-22-17-28-43-999308,SynonymsString_omnigene_1665
DICER1,DICER1,loader,2020-04-22-17-28-46-458156,SynonymsString_omnigene_23405
DIS3,DIS3,loader,2020-04-22-17-28-48-021266,SynonymsString_omnigene_22894
DNAJB1,DNAJB1,loader,2020-04-22-17-28-50-190887,SynonymsString_omnigene_3337
DNMT1,DNMT1,loader,2020-04-22-17-28-52-977821,SynonymsString_omnigene_1786
DNMT3A,DNMT3A,loader,2020-04-22-17-28-55-052729,SynonymsString_omnigene_1788
